,,,Revised Habitat,Revised Web,Zoogeographic Region,Combined Proximal Distribution,Halophilicity,Female Cribellum
Emblyna_mitis_China_UCE,Emblyna mitis,,NA,1,"9, 10",20,NA,0
Emblyna_osceola_TurksCaicos_UCE,Emblyna osceola,,NA,1,7,NA,NA,0
Emblyna_piratica_CA_UCE,Emblyna piratica,,NA,1,6,NA,NA,0
Emblyna_serena_CA_UCE,Emblyna serena,,NA,1,6,NA,NA,0
Emblyna_sublata_UCE,Emblyna sublata,,0,NA,"6,7",NA,NA,0
Eratigena_atrica_UCE,Eratigena atrica,,0,1,10,"1,0",NA,3
Forsterella_sp_UCE,Forsterella sp.,,0,0,8,1,NA,3
Forsterina_sp_UCE,Forsterina sp.,,0,1,1,NA,NA,0
Funny_valentine_UCE,Funny valentine,,NA,NA,"9, 10",NA,NA,0
Hackmania_prominula_Canada_UCE,Hackmania prominula,,NA,NA,6,NA,NA,0
Hahnia_corticicola_UCE,Hahnia corticicola,,0,1,"9,10",1,NA,4
Hahnia_tanikawai_UCE,Hahnia tanikawai,,0,1,"9,10",1,NA,4
Hahnia_thorntoni_UCE,Hahnia thorntoni,,0,1,"9,10",1,NA,4
Hahniidae_sp_497_UCE,Hahniidae sp 497 (Hahnia),,0,1,9,NA,NA,4
Hahniidae_sp_498_UCE,Hahniidae sp 498 (Hahnia),,0,1,9,NA,NA,4
Heteropoda_sp_UCE,Heteropoda sp.,,0,0,"9,10",NA,NA,2
Ischalea_sp_UCE,Ischalea sp.,,0,0,8,1,NA,2
Iviella_reclusa_AZ_UCE,Iviella reclusa,,0,NA,6,20,NA,0
Iwogumoa_insidiosa_UCE,Iwogumoa insidiosa,,0,1,"9,10",NA,NA,4
Lathys_affinis_UCE,Lathys affinis [Portugal],,0,1,10,1,NA,0
Lathys_alberta_China_UCE,Lathys alberta,,NA,1,"9, 10",NA,NA,0
Lathys_chishuiensis_China_UCE,Lathys chishuiensis,,NA,1,"9,10",NA,NA,0
Lathys_delicatula_UCE,Lathys delicatula,,0,1,10,NA,NA,0
Lathys_humilis_Azerbaijan_UCE,Lathys humilis,,0,1,"6, 10",1,NA,0
Lathys_immaculata_Alabama_UCE,Lathys immaculata,,0,1,6,NA,NA,0
Lathys_insulana_Japan_UCE,Lathys insulana,,NA,1,7,NA,NA,0
Lathys_maculina_Alabama_UCE,Lathys maculina,,0,1,6,NA,NA,NA
Lathys_sexpustulata_France_UCE,Lathys sexpustulata,,0,1,10,10,NA,0
Lathys_sp_Azores_UCE,Lathys sp. [Azores],,0,1,10,NA,NA,0
Lathys_sp_n_CentralAfricanRepublic_UCE,Lathys sp. n.,,NA,1,2,NA,NA,0
Lathys_subalberta_China_UCE,Lathys subalberta,,NA,1,"9, 10",NA,NA,0
Macrobunus_sp_UCE,Macrobunus sp.,,0,1,NA,NA,NA,0
Malenella_nana_UCE,Malenella nana,,0,0,0,1,NA,4
Mallos_dugesi_AZ_UCE,Mallos dugesi,,NA,1,6,0,NA,0
Mallos_pallidus_USA_UCE,Mallos pallidus,,NA,1,6,10,NA,0
Mamoea_rufa_UCE,Mamoea rufa,,0,0,8,1,NA,2
Mexitlia_trivittata_NM_UCE,Mexitlia trivittata [NM],,0,1,6,0,NA,0
Mashimo_sp_SouthAfrica_3223_UCE,Mashimo sp.,,NA,1,2,NA,NA,0
Mastigusa_arietina_UCE,Mastigusa arietina (rv),,0,1,10,0,NA,4
Metaltella_simoni_078_UCE,Metaltella simoni,,0,1,"6,7","1,0",NA,0
Neoantistea_quelpartensis_UCE,Neoantistea quelpartensis,,0,1,"9,10",NA,NA,4
Neoramia_sp_660_UCE,Neoramia sp.,,0,1,8,1,NA,0
Nigma_linsdalei_California_UCE,Nigma linsdalei,,0,1,6,0,NA,NA
Nigma_flavescens_France_UCE,Nigma flavescens,,0,1,10,0,NA,0
Nigma_flavescens_Israel_UCE,Nigma flavescens cf. lehteneni,,0,1,10,NA,1,0
Nigma_puella_Crete_70_UCE,Nigma puella,,0,1,10,NA,1,0
Nigma_walckenaeri_UCE,Nigma walckenaeri,,0,1,10,NA,10,0
Novalena_sp_UCE,Novalena sp.,,0,1,6,0,NA,4
Oecobius_sp_UCE,Oecobius sp.,,0,1,6,NA,NA,0
Ommatauxesis_sp_UCE,Ommatauxesis sp.,,0,0,1,NA,NA,4
Otagoa_sp_UCE,Otagoa sp.,,1,0,8,0,NA,2
Paradictyna_ilamia_NewZealand_UCE,Paradictyna ilamia,,0,0,8,1,NA,0
Paramatachia_sp_UCE,Paramatachia sp.,,0,1,1,NA,NA,0
Paratheuma_awasensis,Paratheuma awasensis,,1,0,9,1,1,3
Paratheuma_insulana_TurksCaicos_UCE,Paratheuma insulana,,1,0,7,1,1,0
Parazanomys_sp_UCE,Parazanomys sp.,,0,1,6,NA,NA,0
Penestomus_egazini_UCE,Penestomus egazini,,0,1,2,1,NA,0
Phantyna_micro_Canada_UCE,Phantyna micro,,NA,NA,6,NA,NA,NA
Pireneitega_luctuosa_239_UCE,Pireneitega luctuosa,,0,1,"9,10",NA,NA,4
Porteria_eddardstarki_UCE,Porteria eddardstarki,,0,1,0,1,NA,2
Saltonia_incerta_1736_UCE,Saltonia incerta,,1,1,6,1,1,2
Stiphidion_sp_UCE,Stiphidion sp.,,0,1,1,1,NA,0
Sudesna_hedini_SouthKorea_UCE,Sudesna hedini,,NA,1,10,0,NA,0
Sudesna_sp_China_2249_UCE,Sudesna sp.,,NA,1,"9, 10",0,NA,0
Tahuantina_zapfeae_Chile_UCE,Tahuantina zapfeae,,NA,NA,0,NA,NA,0
Taira_flavidorsalis_UCE,Taira flavidorsalis,,0,1,"9,10",NA,NA,0
Tamgrinia_alveolifera_UCE,Tamgrinia alveolifera,,0,1,"9,10",NA,NA,0
Tamgrinia_tibetana_UCE,Tamgrinia tibetana,,0,1,"9,10",NA,NA,0
Taurongia_sp_UCE,Taurongia sp.,,0,1,1,NA,NA,0
Tegecoelotes_secundus_UCE,Tegecoelotes secundus,,0,1,"9,10",NA,NA,4
Thallumetus_cf_simoni_Ecuador_UCE,Thallumetus cf. simoni,,NA,NA,7,NA,NA,0
Titanoeca_sp_UCE,Titanoeca sp.,,0,1,"9,10",NA,NA,0
Tivyna_spatula_Peru_UCE,Tivyna spatula,,NA,NA,7,NA,NA,0
Toxops_sp_UCE,Toxops sp.,,0,0,1,NA,NA,4
Toxopsiella_sp_UCE,Toxopsiella sp.,,0,0,8,1,NA,4
Tricholathys_cf_hirsutipes_CA_UCE,Tricholathys cf. hirsutipes,,NA,NA,6,NA,NA,0
Tricholathys_sp_CA_UCE,Tricholathys sp.,,NA,NA,6,NA,NA,0
Uloborus_glomosus_UCE,Uloborus glomosus,,0,2,"6,7",0,NA,0
Uroctea_durandi_UCE,Uroctea durandi,,0,1,10,NA,NA,1
Viridictyna_nelsonensis_NewZealand_UCE,Viridictyna nelsonensis,,0,0,8,1,NA,0
Ypypuera_sp_UCE,Ypypuera sp.,,0,0,7,NA,NA,2
